"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.875196878,       -9.67238369,      -16.04780435,       -10.9443717,      -4.268030877,      -10.91801127
          0,           0,           1,      -5.207402573,      -5.085242443,      -5.629804929,      -4.855234186,      -4.571620926,      -11.62633833
          0,           0,           2,      -5.202978971,      -4.998930962,      -5.196898227,       -5.05454878,      -4.566965538,      -11.61628827
          0,           0,           3,      -5.135526185,      -4.990512394,       -4.98588622,      -4.879812382,      -4.517636216,       -11.4965679
          0,           0,           4,      -5.033221519,      -4.962234115,      -4.891343983,      -4.789541992,      -4.424124535,      -11.45294181
          0,           0,           5,      -4.979169209,      -4.947730961,      -4.861174784,       -4.77957873,      -4.372993848,        -11.441446
          0,           0,           6,      -4.955884294,      -4.955696733,       -4.87260087,      -4.810709166,      -4.350416578,      -11.41861151
          0,           0,           7,      -4.930914189,      -4.985105493,      -4.899577701,      -4.847202136,      -4.327990774,      -11.39229258
          0,           0,           8,      -4.905918531,      -5.033644879,      -4.929920865,        -4.8787792,      -4.307160307,      -11.38374461
          0,           0,           9,      -4.893770538,      -5.067543395,      -4.967160295,      -4.917034567,      -4.295626872,      -11.39594049
          0,           0,          10,      -4.894011968,      -5.050523238,      -5.009488575,       -4.96111155,      -4.290267415,      -11.42039662
          0,           0,          11,      -4.906238833,      -5.018524263,      -5.058109277,      -5.002679269,      -4.295439429,      -11.44988327
          0,           0,          12,      -4.931897732,      -5.017092755,      -5.117981827,      -5.047916517,      -4.318621081,       -11.4805925
          0,           0,          13,      -4.966809856,       -5.05304239,      -5.185724818,      -5.106851219,      -4.356934606,       -11.5122512
          0,           0,          14,      -5.004488384,       -5.10958056,      -5.249636882,      -5.174489995,      -4.399720892,      -11.54624003
          0,           0,          15,      -5.042687665,      -5.163643928,      -5.302724547,      -5.234605931,      -4.439358417,      -11.58358415
          0,           0,          16,      -5.082002002,      -5.206188239,      -5.349458936,      -5.280093177,      -4.475811505,      -11.62408372
          0,           0,          17,       -5.12359889,       -5.24646557,      -5.398935326,      -5.321181531,      -4.513688516,      -11.66515795
          0,           0,          18,      -5.168173344,       -5.29604224,      -5.456129366,       -5.37040041,      -4.556607277,      -11.70075506
          0,           0,          19,      -5.215830733,      -5.357031334,      -5.519371788,      -5.431401845,       -4.60490905,      -11.72289957
          0,           0,          20,      -5.265899906,      -5.422616189,      -5.582819453,      -5.499579805,      -4.656369017,      -11.72448388
          0,           0,          21,      -5.317241209,       -5.48385173,      -5.641620901,      -5.566445274,      -4.708317174,      -11.70245932
          0,           0,          22,      -5.368845382,      -5.538023949,      -5.696009818,      -5.625217901,      -4.759393553,      -11.65912641
          0,           0,          23,      -5.420062893,      -5.589946893,       -5.74927197,      -5.674937163,      -4.809655336,      -11.60132989
          0,           0,          24,      -5.470473773,      -5.645294521,      -5.803559938,      -5.719443272,      -4.859520878,      -11.53609399
          0,           0,          25,      -5.519772533,      -5.705080482,      -5.858421337,      -5.762728925,      -4.908979663,      -11.46996436
          0,           0,          26,      -5.567750613,      -5.764978804,       -5.91191212,      -5.806403371,      -4.957537233,      -11.40761217
          0,           0,          27,      -5.614383521,      -5.818385892,      -5.962787287,      -5.850122687,      -5.004674268,      -11.35189198
          0,           0,          28,      -5.659916359,      -5.861448743,      -6.011401806,      -5.893037402,      -5.050308577,      -11.30437494
          0,           0,          29,      -5.704721513,      -5.895830853,      -6.059022259,      -5.935079093,      -5.094790584,      -11.26563732
          0,           0,          30,      -5.749260982,      -5.926650854,      -6.106330582,      -5.977091247,      -5.138745381,      -11.23616487
          0,           0,          31,      -5.793988808,      -5.958641485,      -6.152937702,      -6.019995332,      -5.182785879,      -11.21627393
          0,           0,          32,      -5.839305779,      -5.994274946,      -6.197780509,      -6.063760292,      -5.227403502,      -11.20641159
          0,           0,          33,      -5.885533745,      -6.034266145,      -6.240100199,       -6.10732007,      -5.272984286,      -11.20542875
          0,           0,          34,      -5.932783941,       -6.07835901,      -6.280348792,      -6.148926848,      -5.319727017,        -11.211131
          0,           0,          35,       -5.98083769,      -6.125943669,      -6.319969395,      -6.187477503,      -5.367531399,      -11.22117892
          0,           0,          36,      -6.029153849,      -6.176338215,      -6.360459733,      -6.223203558,       -5.41595649,      -11.23409197
          0,           0,          37,        -6.0769551,      -6.228752538,      -6.402530093,      -6.257393823,      -5.464235014,      -11.24971842
